gauge_id,cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,cluster_10_prob,predicted_cluster,prediction_confidence
CA_16151,0.027743386243386247,0.14017063492063495,0.18158730158730163,0.06387301587301587,0.028116402116402112,0.024559523809523812,0.10414285714285713,0.25926719576719576,0.05544444444444444,0.055555555555555546,0.05953968253968254,7,0.25926719576719576
CA_16153,0.019523809523809523,0.04531349206349206,0.20434126984126982,0.05422222222222222,0.016539682539682538,0.010555555555555556,0.03569047619047618,0.5065952380952381,0.03127380952380952,0.033,0.042944444444444445,7,0.5065952380952381
CA_16158,0.01411111111111111,0.052309523809523806,0.1940873015873016,0.050833333333333335,0.024428571428571428,0.016166666666666666,0.06021825396825397,0.46643253968253956,0.032912698412698414,0.051055555555555555,0.03744444444444445,7,0.46643253968253956
CA_16159,0.04342592592592593,0.14936904761904762,0.16818650793650797,0.07402777777777779,0.031013227513227517,0.028912698412698414,0.1455410052910053,0.21050925925925926,0.04353439153439154,0.027777777777777773,0.07770238095238094,7,0.21050925925925926
CA_16160,0.013611111111111114,0.06787301587301586,0.19000793650793654,0.04611111111111111,0.028873015873015877,0.021416666666666667,0.06491269841269842,0.44903571428571437,0.03227777777777778,0.04438888888888889,0.04149206349206349,7,0.44903571428571437
CA_16161,0.03337037037037037,0.1244722222222222,0.16194841269841273,0.06605555555555555,0.03406084656084656,0.037059523809523806,0.11939285714285715,0.26422751322751326,0.061150793650793664,0.03766666666666667,0.060595238095238105,7,0.26422751322751326
CA_16169,0.013968253968253968,0.07373809523809523,0.20221428571428574,0.053777777777777785,0.022928571428571423,0.019611111111111114,0.04280158730158729,0.4623333333333332,0.03664285714285714,0.043277777777777776,0.028706349206349208,7,0.4623333333333332
CA_16176,0.048949735449735444,0.056198412698412706,0.2632777777777778,0.037277777777777785,0.01766798941798942,0.015119047619047619,0.05431349206349206,0.40246164021164016,0.035261904761904765,0.04411111111111111,0.025361111111111112,7,0.40246164021164016
CA_16205,0.05136640211640212,0.061519841269841266,0.13556349206349208,0.04967460317460318,0.018537037037037036,0.009444444444444443,0.025055555555555557,0.55889417989418,0.027464285714285712,0.02837301587301587,0.03410714285714286,7,0.55889417989418
CA_16487,0.01836507936507937,0.06209126984126983,0.3923917748917749,0.020132275132275133,0.025936507936507935,0.021277777777777777,0.09608441558441558,0.2325873015873016,0.03066534391534392,0.0385,0.061968253968253985,2,0.3923917748917749
CA_16510,0.04294444444444445,0.15885317460317458,0.12727777777777782,0.10077777777777777,0.02676190476190476,0.041753968253968245,0.06516666666666666,0.2961825396825398,0.048753968253968265,0.04431746031746032,0.047210317460317466,7,0.2961825396825398
CA_17050,0.021051587301587304,0.04507142857142856,0.25162301587301594,0.022894179894179897,0.01627777777777778,0.0236031746031746,0.08606878306878306,0.3779179894179894,0.027563492063492064,0.08465079365079366,0.043277777777777776,7,0.3779179894179894
CA_17077,0.03897222222222222,0.07524603174603173,0.26964682539682544,0.03778571428571428,0.04247619047619047,0.036019841269841264,0.10882539682539684,0.17338095238095239,0.0784126984126984,0.08961111111111109,0.049623015873015874,2,0.26964682539682544
CA_17082,0.024944444444444446,0.07155555555555557,0.2801446608946608,0.03098148148148148,0.014828282828282831,0.016031746031746032,0.06742460317460316,0.3803961038961041,0.031526455026455034,0.04027777777777777,0.041888888888888885,7,0.3803961038961041
CA_17100,0.02126984126984127,0.08857142857142855,0.29375396825396827,0.03335449735449735,0.02817989417989418,0.020825396825396827,0.09218253968253969,0.2761044973544974,0.039396825396825395,0.03991666666666666,0.06644444444444444,2,0.29375396825396827
CA_17110,0.01657936507936508,0.046753968253968256,0.24101190476190473,0.02871428571428572,0.013547619047619046,0.006619047619047619,0.0367063492063492,0.49571031746031735,0.034595238095238096,0.049539682539682536,0.03022222222222222,7,0.49571031746031735
CA_17137,0.031769841269841274,0.12298412698412695,0.26509656084656086,0.046082010582010585,0.0404021164021164,0.03570634920634921,0.1393187830687831,0.16925529100529094,0.05408730158730158,0.03685317460317461,0.05844444444444444,2,0.26509656084656086
CA_17147,0.017412698412698414,0.04803174603174603,0.243984126984127,0.03822222222222222,0.016603174603174602,0.013055555555555555,0.03428968253968253,0.47424206349206344,0.04123809523809524,0.053373015873015864,0.019547619047619046,7,0.47424206349206344
CA_17150,0.022595238095238095,0.04930952380952381,0.26516666666666666,0.03261904761904763,0.014880952380952378,0.012777777777777777,0.055702380952380955,0.427297619047619,0.03816666666666666,0.048484126984126984,0.033,7,0.427297619047619
CA_17202,0.02867195767195767,0.05308730158730158,0.2839404761904762,0.028759259259259262,0.01675132275132275,0.020722222222222222,0.04501190476190475,0.41101322751322744,0.04466931216931217,0.04542857142857142,0.021944444444444447,7,0.41101322751322744
CA_17288,0.06340079365079364,0.0809206349206349,0.16250000000000003,0.04905555555555557,0.016037037037037037,0.014896825396825398,0.05789682539682539,0.4405330687830687,0.02934126984126984,0.05871825396825397,0.026699735449735452,7,0.4405330687830687
CA_17325,0.041755291005291004,0.06004761904761905,0.20159126984126985,0.043563492063492075,0.021677248677248677,0.01688888888888889,0.024873015873015877,0.4843531746031746,0.02965873015873016,0.048706349206349205,0.026884920634920633,7,0.4843531746031746
CA_17329,0.016857142857142855,0.048484126984126984,0.24086904761904762,0.030425925925925922,0.017075396825396827,0.01372222222222222,0.032206349206349204,0.49765873015873,0.03867724867724868,0.041595238095238095,0.022428571428571433,7,0.49765873015873
CA_17338,0.03400529100529101,0.06862301587301588,0.22288888888888886,0.024944444444444446,0.024525132275132276,0.02355555555555556,0.04275396825396824,0.4735449735449737,0.021952380952380956,0.03905555555555555,0.024150793650793655,7,0.4735449735449737
CA_17344,0.03842857142857143,0.08428968253968254,0.2146415343915345,0.03183333333333334,0.021306878306878312,0.033301587301587304,0.08106349206349206,0.36447222222222225,0.04501587301587303,0.03703968253968253,0.04860714285714286,7,0.36447222222222225
CA_17453,0.012277777777777778,0.052460317460317464,0.24042063492063492,0.03781481481481481,0.012968253968253969,0.02843650793650794,0.04757671957671957,0.4513068783068783,0.027626984126984132,0.03855555555555556,0.05055555555555556,7,0.4513068783068783
CA_17462,0.03365079365079365,0.06696031746031746,0.2941269841269842,0.03737830687830687,0.03130158730158731,0.03176984126984127,0.07570370370370369,0.260989417989418,0.03734126984126984,0.06444444444444444,0.06633333333333334,2,0.2941269841269842
